oId,sId,cId,Odate,Ddate,Amount
1,1,1,2023-01-20,2023-01-21,3
2,1,2,2023-01-20,2023-01-21,3
3,1,3,2023-01-20,2023-01-21,4
4,1,4,2023-01-20,2023-01-21,12
5,1,5,2023-01-20,2023-01-21,4
6,1,6,2023-01-20,2023-01-21,27
7,1,7,2023-01-20,2023-01-21,4
8,1,8,2023-01-20,2023-01-21,5
9,1,9,2023-01-20,2023-01-21,5
10,1,10,2023-01-20,2023-01-21,5
11,1,11,2023-01-20,2023-01-21,3
12,1,12,2023-01-25,2023-01-26,4
13,1,13,2023-01-25,2023-01-26,4
14,1,14,2023-01-25,2023-01-26,4
15,1,2,2023-01-25,2023-01-26,22
16,1,5,2023-01-25,2023-01-26,5
17,1,9,2023-01-25,2023-01-26,6
18,1,15,2023-01-30,2023-01-31,6
19,1,16,2023-01-30,2023-01-31,3
20,1,17,2023-01-30,2023-01-31,3
21,1,2,2023-01-30,2023-01-31,4
22,1,9,2023-01-30,2023-01-31,4
23,1,18,2023-02-05,2023-02-06,4
24,1,19,2023-02-05,2023-02-06,4
25,1,20,2023-02-05,2023-02-06,4
26,1,21,2023-02-10,2023-02-11,4
27,1,21,2023-02-12,2023-02-13,4
